example_id,statement,intent_code,intent_meaning,department,split,urgency,sentiment,channel,language,has_order_context,wording_style,synthetic_source,created_date
REST_INTENT_000001,I need help. Please refund my money for the missing food. right now?,REFUND_REQUEST,Customer wants refund,Refunds,validation,medium,negative,chatbot,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000002,Can you help me? I want to place a large order for 13 guests. right now,CATERING_INQUIRY,Bulk/catering order,Catering,train,low,neutral,phone,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000003,URGENT: I cancelled but have not received a refund. please fix this,REFUND_REQUEST,Customer wants refund,Refunds,test,medium,negative,website,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000004,I need help. Please share catering menu and pricing. right now.,CATERING_INQUIRY,Bulk/catering order,Catering,test,low,neutral,phone,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000005,"I need help. The app says delivred, but I did not receive order R619316. right now!",ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,train,high,negative,email,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000006,"Please help, The restaurant did not mention allergens in the food. if possible!",FOOD_SAFETY_ISSUE,"Hair, illness, allergy, contamination",Food Safety,train,high,negative,chatbot,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000007,The food quality from Northside branch was unacceptable.,FOOD_QUALITY_ISSUE,"Cold, stale, burnt, raw food",Food Quality,train,low,negative,chatbot,en,true,uppercase,template_slot_generation_v1,2026-06-14
REST_INTENT_000008,I want to report a cleanliness issue. thanks!,CLEANLINESS_COMPLAINT,Dirty table/restroom/restaurant,Cleaning / Store Manager,train,medium,negative,email,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000009,"Hi, Cancel my resrvation for June 20. today.",RESERVATION_CANCEL,Cancel booking,Reservations,train,low,neutral,mobile_app,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000010,"Hello, Please cancel the table booking under Daniel. asap.",RESERVATION_CANCEL,Cancel booking,Reservations,train,low,neutral,email,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000011,"Hey, Do you have availability for 2 guests next week? today.",RESERVATION_CREATE,Book a table,Reservations,test,low,neutral,counter,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000012,URGENT: Book a reservation under Chris.,RESERVATION_CREATE,Book a table,Reservations,train,low,neutral,mobile_app,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000013,I need help. Track my order R970679 from the mall food court. today?,ORDER_STATUS,Customer wants order status,Customer Support,train,low,neutral,email,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000014,"Need help now: I do not want chatbot help, get me an agent. please fix this",HUMAN_AGENT_REQUEST,Wants human support,Customer Support,train,medium,negative,counter,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000015,"Quick question, Can someone from your team contact me? thanks?",HUMAN_AGENT_REQUEST,Wants human support,Customer Support,train,medium,negative,phone,en,false,polite,template_slot_generation_v1,2026-06-14
