statement,intent_code
Can someone help me? can you make my reservation for more guests? This is frustrating.,RESERVATION_MODIFY
"Hey, please check why my restaurant order is late. I tried from the app.",ORDER_DELAYED
Urgent: please make a dinner reservation for 8. I tried from the app. Reference R331024.,RESERVATION_CREATE
Can you update my table booking? Please respond soon. I am asking in a upset way.,RESERVATION_MODIFY
Please help. i got sick after eating the food from order R229604. This is frustrating.,FOOD_SAFETY_ISSUE
Please help. i left my sunglasses on the table. Thank you.,LOST_AND_FOUND
"Hello, i need information about school admission. This happened this afternoon. Branch: New York downtown. I am asking in a confused way.",OUT_OF_SCOPE
I need support. book a table under the name John. Thank you.,RESERVATION_CREATE
Can someone help me? what dishes are safe for someone allergic to dairy? I need this resolved.,ALLERGY_INQUIRY
Can you help me with a missing item in order R238767? I need this resolved. Reference R214562.,MISSING_ITEM
I need support. i visited yesterday and lost my keys. This is frustrating.,LOST_AND_FOUND
Please help. i want to report rude behavior from the cashier. Can this be fixed?,STAFF_COMPLAINT
I need support. i need allergen information before ordering. Can this be fixed? Reference R850982.,ALLERGY_INQUIRY
Can someone help me? my order R913664 arrived with poor food quality. Please respond soon.,FOOD_QUALITY_ISSUE
Please help. my payment failed while placing the order. I tried from the app.,PAYMENT_FAILED
Can I see the dessert menu? This is frustrating. Branch: Toronto airport.,MENU_INQUIRY
Urgent: i need a quote for catering from the Mesa branch. This happened yesterday. Reference R944180.,CATERING_INQUIRY
Quick question: please tell me the price of paneer tikka. Can this be fixed?,MENU_INQUIRY
Quick question: i have a shellfish allergy. What can I safely order? I need assistance. Reference R167739.,ALLERGY_INQUIRY
Can someone help me? i need to change my reservation time to Saturday afternoon. Please help. I am asking in a urgent way.,RESERVATION_MODIFY
"Good evening, can you help me with a missing item in order R653725? What should I do?",MISSING_ITEM
Quick question: does the milkshake contain gluten?,ALLERGY_INQUIRY
Urgent: can I order directly from your website? Thank you.,GENERAL_INQUIRY
"Good evening, please route me to a customer service agent by live chat. Can you check? I am asking in a upset way.",HUMAN_AGENT_REQUEST
Urgent: my food was burnt and not fresh. I am asking in a polite way.,FOOD_QUALITY_ISSUE
Urgent: my membership points are not showing. This is frustrating. Reference R943439.,LOYALTY_POINTS_ISSUE
Can someone help me? did anyone find a sunglasses at the Toronto branch? Thank you.,LOST_AND_FOUND
Quick question: the chutney was not included in my order. I need assistance.,MISSING_ITEM
"Hello, i want to report rude behavior from the server. I need this resolved.",STAFF_COMPLAINT
Can someone help me? can you provide catering for an office lunch? Can you check? Reference R243927.,CATERING_INQUIRY
"Hi, tell me the stock price today. Can you check?",OUT_OF_SCOPE
"Hi, can you tell me if order R345078 is ready for pickup? Please respond soon.",ORDER_STATUS
Quick question: the debit card payment was deducted twice. Can this be fixed?,DOUBLE_CHARGED
Urgent: what is the weather tomorrow? Reference R194325.,OUT_OF_SCOPE
Quick question: can someone check if my wallet was turned in? This is frustrating.,LOST_AND_FOUND
Quick question: do you have pizza on the menu? This is frustrating.,MENU_INQUIRY
"Hey, can the kitchen avoid peanuts in my meal? This happened this morning.",ALLERGY_INQUIRY
I need support. the food delivered does not match my restaurant order. I tried from the app. Reference R797122. Branch: Bangalore airport.,WRONG_ITEM
Please help. i want to place a bulk order for tomorrow. This happened 30 minutes ago.,CATERING_INQUIRY
"Good evening, please tell me the price of rice bowl. I tried from the app. Reference R428713.",MENU_INQUIRY
"Good evening, i ordered from the Austin north side branch and received the wrong meal. Can you check? Reference R914989.",WRONG_ITEM
"Hello, please share catering menu options. What should I do?",CATERING_INQUIRY
Urgent: do you have parking available? Can you check?,GENERAL_INQUIRY
"Hey, please cancel my reservation. This happened two hours ago.",RESERVATION_CANCEL
"Hello, please adjust my reservation at the Chicago restaurant. I need assistance.",RESERVATION_MODIFY
Quick question: my order R307364 arrived with poor food quality. I need assistance.,FOOD_QUALITY_ISSUE
"Hi, the Austin branch was not clean. I need assistance. Reference R245125.",CLEANLINESS_COMPLAINT
"Quick question: the app says delivered, but I did not receive order R708694. I need this resolved.",ORDER_NOT_RECEIVED
"Good evening, do you serve breakfast items? This is frustrating. Branch: Dallas south side.",MENU_INQUIRY
Please help. do you have allergy-safe options? I need this resolved.,ALLERGY_INQUIRY
Can someone help me? the chairs and table were not cleaned before we sat. Can this be fixed?,CLEANLINESS_COMPLAINT
"Hey, the app says my order should have arrived already. Can you check? Reference R758819. I am asking in a urgent way.",ORDER_DELAYED
Please help. the discount disappeared from my order. I need this resolved.,PROMO_CODE_ISSUE
Urgent: the offer shown in the app is not working. Please help. Reference R989562. Branch: New York north side.,PROMO_CODE_ISSUE
I need a refund because the food was not acceptable. I tried from the app.,REFUND_REQUEST
"Good evening, i got sick after eating the food from order R977203. Can you check?",FOOD_SAFETY_ISSUE
Urgent: i need catering for 10 people. Can you check?,CATERING_INQUIRY
"Hi, i ordered chicken biryani, but I got something else. Thank you.",WRONG_ITEM
"Good evening, why is SAVE10 not accepted? This is frustrating.",PROMO_CODE_ISSUE
Can someone help me? tell me what is included in the lunch combo. What should I do? I am asking in a polite way.,MENU_INQUIRY
"Hey, my dinner order is delayed and I need an update. I tried from the app.",ORDER_DELAYED
Please help. what stage is my order R455195 in? This happened this afternoon.,ORDER_STATUS
Please help. i need to edit my dinner reservation. What should I do? Reference R346374.,RESERVATION_MODIFY
"Hi, i had a bad experience with the staff. This is frustrating.",STAFF_COMPLAINT
"Hi, my combo meal came without chutney. Please help. Reference R109343.",MISSING_ITEM
Has the kitchen accepted my food order R796908? Thank you.,ORDER_STATUS
Please help. the meal quality was bad. Branch: Bangalore south side.,FOOD_QUALITY_ISSUE
Quick question: please make a dinner reservation for 6. I tried from the app.,RESERVATION_CREATE
Please help. the item in my bag is not mine. I need assistance.,WRONG_ITEM
I need support. i found foreign object in my chicken biryani. I tried from the app. Reference R586611.,FOOD_SAFETY_ISSUE
"Hi, the barista was rude to me. Thank you. Reference R824257.",STAFF_COMPLAINT
"Hello, part of my order is missing from the bag. Please respond soon.",MISSING_ITEM
I have a egg allergy. What can I safely order? This is frustrating.,ALLERGY_INQUIRY
Can someone help me? my dinner order is delayed and I need an update. What should I do? Reference R681793.,ORDER_DELAYED
"Hey, i need to edit my dinner reservation. This happened today.",RESERVATION_MODIFY
"Good evening, please refund my payment. Thank you. Reference R262649.",REFUND_REQUEST
"I used the app, but no rewards points were credited.",LOYALTY_POINTS_ISSUE
"Hey, do you have a table available for 5 people? This is frustrating.",RESERVATION_CREATE
I need support. has the kitchen accepted my order R754702? Please help.,ORDER_STATUS
Can someone help me? please book my flight ticket. Reference R888290. Branch: Chandler main street.,OUT_OF_SCOPE
The app shows payment failed for my order. I need assistance.,PAYMENT_FAILED
"Hey, i need to know whether my restaurant order is confirmed. I need this resolved. Branch: Phoenix central.",ORDER_STATUS
"Hey, can you handle a large order for 20 guests?",CATERING_INQUIRY
"Hi, please adjust my reservation at the London restaurant. I need assistance. Branch: Scottsdale main street.",RESERVATION_MODIFY
Can someone help me? the chairs and table were not cleaned before we sat. What should I do? Branch: Phoenix north side.,CLEANLINESS_COMPLAINT
"Good evening, the food delivered does not match my order. This is frustrating. I am asking in a frustrated way.",WRONG_ITEM
"Good evening, what dishes are available today? This is frustrating. Reference R114695. Branch: Dubai north side.",MENU_INQUIRY
"Hey, the bag from Toronto did not include my napkins. This happened last night.",MISSING_ITEM
I need support. it has been more than an hour and my food is not delivered. Thank you. Reference R873796.,ORDER_DELAYED
Please help. the wallet payment was deducted twice. Please help. Branch: Hyderabad central.,DOUBLE_CHARGED
Quick question: can you check my loyalty account? Can this be fixed?,LOYALTY_POINTS_ISSUE
"Hey, the food smells unsafe to eat. I tried from the app. Branch: Bangalore drive-thru.",FOOD_SAFETY_ISSUE
I need support. please check why I was charged two times. Please help. Reference R788423.,DOUBLE_CHARGED
Urgent: the manager did not handle my complaint properly. This happened this afternoon. I am asking in a frustrated way.,STAFF_COMPLAINT
"Please help. the app says delivered, but I did not receive order R945736. Please help. Branch: Chicago central.",ORDER_NOT_RECEIVED
I need support. do you have allergy-safe options? This is frustrating. Reference R547016.,ALLERGY_INQUIRY
"Hey, the restaurant sent the wrong food. Please help.",WRONG_ITEM
"Can someone help me? i paid once, but my bank shows a duplicate charge. Thank you.",DOUBLE_CHARGED
I need support. i was charged twice for order R877218. I need this resolved.,DOUBLE_CHARGED
Please help. i no longer need the table reservation. Can this be fixed?,RESERVATION_CANCEL
"Good evening, please tell me the price of sandwich. Thank you.",MENU_INQUIRY
"Hey, how can I contact the Bangalore restaurant? What should I do?",GENERAL_INQUIRY
"Hi, do you have spicy food options? Can you check? Branch: Scottsdale central.",MENU_INQUIRY
"Hi, i did not receive the sauce I paid for. This is frustrating.",MISSING_ITEM
"Good evening, cancel my dine-in booking. Can you check?",RESERVATION_CANCEL
Urgent: i want to schedule a dine-in reservation.,RESERVATION_CREATE
I need support. the discount disappeared from my order. I am asking in a urgent way.,PROMO_CODE_ISSUE
I need human help from the Dallas branch support team. Please respond soon.,HUMAN_AGENT_REQUEST
Please help. the discount disappeared from my order. This is frustrating. Branch: Chandler drive-thru.,PROMO_CODE_ISSUE
"Hello, the rice bowl tasted old and greasy. What should I do? Reference R950614.",FOOD_QUALITY_ISSUE
Please help. order R822073 was not received at my address. I need assistance.,ORDER_NOT_RECEIVED
Urgent: i checked outside and my order is missing.,ORDER_NOT_RECEIVED
I need support. the server ignored us for a long time. This happened last night.,STAFF_COMPLAINT
"Hey, it has been more than an hour and my food is not delivered. Reference R653685.",ORDER_DELAYED
"Hey, do you have parking available? Can this be fixed? Reference R698090.",GENERAL_INQUIRY
"Good evening, please remove my reservation for 30 people. Please respond soon. Reference R612274.",RESERVATION_CANCEL
"Hey, do you have allergy-safe options? What should I do? Branch: Tempe drive-thru.",ALLERGY_INQUIRY
"Good evening, please cancel my reservation. Can you check? Branch: Dallas central. I am asking in a upset way.",RESERVATION_CANCEL
I need support. please tell me the price of soup. Please help.,MENU_INQUIRY
Quick question: can you tell me if order R307123 is ready for pickup? I need this resolved.,ORDER_STATUS
"Hey, has the kitchen accepted my order R114697? Can this be fixed?",ORDER_STATUS
"Hey, i want a refund for order R764510. What should I do?",REFUND_REQUEST
"Hi, my order R151334 is taking too long. Please respond soon. Reference R493246.",ORDER_DELAYED
"Hey, can you check lost and found for my laptop bag? This is frustrating.",LOST_AND_FOUND
Please help. please create a reservation for next Sunday at Mesa. Can this be fixed? I am asking in a confused way.,RESERVATION_CREATE
The cashier was unprofessional. This happened this afternoon. Branch: Phoenix south side.,STAFF_COMPLAINT
Urgent: the chicken biryani tasted old and overcooked. Can this be fixed? Reference R583619.,FOOD_QUALITY_ISSUE
Quick question: has the kitchen accepted my order R246064? This happened yesterday.,ORDER_STATUS
